year,month,month_name,season,group,district,population,num_businesses,daily_hours,weekly_hours,monthly_hours,household_loss_npr,business_loss_npr,total_household_loss_npr,total_business_loss_npr,year_month
2012,1,January,Winter,Group 1,Kathmandu,1500000,45000,15.06,105.4,451.8,24849.0,171684.0,9318375000.0,7725780000.0,2012-01
2012,1,January,Winter,Group 1,Lalitpur,300000,12000,15.75,110.2,472.5,23625.0,132300.0,1771875000.0,1587600000.0,2012-01
2012,1,January,Winter,Group 1,Bhaktapur,85000,8000,17.01,119.1,510.3,22964.0,112266.0,487985000.0,898128000.0,2012-01
2012,1,January,Winter,Group 1,Pokhara,450000,15000,18.0,126.0,540.0,27000.0,162000.0,3037500000.0,2430000000.0,2012-01
2012,1,January,Winter,Group 1,Chitwan,580000,18000,18.0,126.0,540.0,22680.0,135000.0,3288600000.0,2430000000.0,2012-01
2012,1,January,Winter,Group 1,Biratnagar,240000,11000,18.0,126.0,540.0,25920.0,145800.0,1555200000.0,1603800000.0,2012-01
2012,1,January,Winter,Group 1,Birgunj,190000,9500,18.0,126.0,540.0,24840.0,140400.0,1179900000.0,1333800000.0,2012-01
2012,1,January,Winter,Group 1,Butwal,135000,7000,18.0,126.0,540.0,21600.0,113400.0,729000000.0,793800000.0,2012-01
2012,1,January,Winter,Group 1,Dharan,130000,6500,18.0,126.0,540.0,23760.0,129600.0,772200000.0,842400000.0,2012-01
2012,1,January,Winter,Group 1,Hetauda,95000,5000,18.0,126.0,540.0,20520.0,108000.0,487350000.0,540000000.0,2012-01
2012,1,January,Winter,Group 2,Kathmandu,1500000,45000,15.28,107.0,458.4,25212.0,174192.0,9454500000.0,7838640000.0,2012-01
2012,1,January,Winter,Group 2,Lalitpur,300000,12000,16.22,113.5,486.6,24330.0,136248.0,1824750000.0,1634976000.0,2012-01
2012,1,January,Winter,Group 2,Bhaktapur,85000,8000,17.45,122.1,523.5,23558.0,115170.0,500607500.0,921360000.0,2012-01
2012,1,January,Winter,Group 2,Pokhara,450000,15000,18.0,126.0,540.0,27000.0,162000.0,3037500000.0,2430000000.0,2012-01
2012,1,January,Winter,Group 2,Chitwan,580000,18000,18.0,126.0,540.0,22680.0,135000.0,3288600000.0,2430000000.0,2012-01
2012,1,January,Winter,Group 2,Biratnagar,240000,11000,18.0,126.0,540.0,25920.0,145800.0,1555200000.0,1603800000.0,2012-01
2012,1,January,Winter,Group 2,Birgunj,190000,9500,18.0,126.0,540.0,24840.0,140400.0,1179900000.0,1333800000.0,2012-01
2012,1,January,Winter,Group 2,Butwal,135000,7000,18.0,126.0,540.0,21600.0,113400.0,729000000.0,793800000.0,2012-01
2012,1,January,Winter,Group 2,Dharan,130000,6500,18.0,126.0,540.0,23760.0,129600.0,772200000.0,842400000.0,2012-01
2012,1,January,Winter,Group 2,Hetauda,95000,5000,18.0,126.0,540.0,20520.0,108000.0,487350000.0,540000000.0,2012-01
2012,1,January,Winter,Group 3,Kathmandu,1500000,45000,16.65,116.5,499.5,27472.0,189810.0,10302000000.0,8541450000.0,2012-01
2012,1,January,Winter,Group 3,Lalitpur,300000,12000,16.92,118.4,507.6,25380.0,142128.0,1903500000.0,1705536000.0,2012-01
2012,1,January,Winter,Group 3,Bhaktapur,85000,8000,17.98,125.9,539.4,24273.0,118668.0,515801250.0,949344000.0,2012-01
2012,1,January,Winter,Group 3,Pokhara,450000,15000,18.0,126.0,540.0,27000.0,162000.0,3037500000.0,2430000000.0,2012-01
2012,1,January,Winter,Group 3,Chitwan,580000,18000,18.0,126.0,540.0,22680.0,135000.0,3288600000.0,2430000000.0,2012-01
2012,1,January,Winter,Group 3,Biratnagar,240000,11000,18.0,126.0,540.0,25920.0,145800.0,1555200000.0,1603800000.0,2012-01
2012,1,January,Winter,Group 3,Birgunj,190000,9500,18.0,126.0,540.0,24840.0,140400.0,1179900000.0,1333800000.0,2012-01
2012,1,January,Winter,Group 3,Butwal,135000,7000,18.0,126.0,540.0,21600.0,113400.0,729000000.0,793800000.0,2012-01
